scenario_name,release_time,release_lat,release_lon,predicted_lat,predicted_lon,distance_error_nm,accuracy_rating,total_score
Milwaukee 3nm_2300,2025-08-22 23:00,43.0389,-87.8389,44.86515618430115,-99.39470915970483,588.0860752305007,Poor,589.5860752305007
Milwaukee 2.5nm_2300,2025-08-22 23:00,43.0389,-87.856,44.86509697042697,-99.41191154630702,588.8065000956035,Poor,590.3065000956035
Milwaukee 2nm_2300,2025-08-22 23:00,43.0389,-87.8731,44.86520465202242,-99.4290629504444,589.526569137059,Poor,591.026569137059
Milwaukee 3nm_2100,2025-08-22 21:00,43.0389,-87.8389,44.8949980464919,-99.46638326972236,591.4000460450653,Poor,591.9000460450653
Milwaukee 2.5nm_2100,2025-08-22 21:00,43.0389,-87.856,44.895082951894054,-99.48344393344323,592.1155087684782,Poor,592.6155087684782
Milwaukee 2nm_2100,2025-08-22 21:00,43.0389,-87.8731,44.89485321114471,-99.50045976686414,592.8258683989188,Poor,593.3258683989188
Milwaukee 3nm_1900,2025-08-22 19:00,43.0389,-87.8389,44.9276579524242,-99.55474049027538,595.441785556485,Poor,595.941785556485
Milwaukee 2.5nm_1900,2025-08-22 19:00,43.0389,-87.856,44.92779813285817,-99.57189668487572,596.161294581497,Poor,596.661294581497
Milwaukee 2nm_1900,2025-08-22 19:00,43.0389,-87.8731,44.92773996825317,-99.58894283622197,596.8741682822359,Poor,597.3741682822359
Milwaukee 3nm_1700,2025-08-22 17:00,43.0389,-87.8389,44.97054716921876,-99.65048709538809,599.9001424251333,Poor,601.4001424251333
Milwaukee 2.5nm_1700,2025-08-22 17:00,43.0389,-87.856,44.970379781404326,-99.66760096458268,600.6138658566286,Poor,602.1138658566286
Milwaukee 2nm_1700,2025-08-22 17:00,43.0389,-87.8731,44.97050951839385,-99.68465949319918,601.3284798389751,Poor,602.8284798389751
Milwaukee 3nm_1500,2025-08-22 15:00,43.0389,-87.8389,45.02593077624797,-99.76310518106773,605.1976181391988,Poor,607.6976181391988
Milwaukee 2.5nm_1500,2025-08-22 15:00,43.0389,-87.856,45.02590823298111,-99.78019167439918,605.9107050630972,Poor,608.4107050630972
Milwaukee 2nm_1500,2025-08-22 15:00,43.0389,-87.8731,45.02593804408044,-99.7973093021521,606.6257096355604,Poor,609.1257096355604
